"","ID","DP_1","DP_2","DP_3","DP_4","DP_5","AIP_1","AIP_2","AIP_3","AIP_4","AIP_5","AIP_6","AIP_7","AIP_8","AIP_9","AIP_10","AIP_11","AIP_12","AIP_13","AIP_14","AIP_15","GP_1","GP_2","GP_3","GP_4","GP_5","GP_6","GP_7","GP_8","GP_9","GP_10","GP_11","GP_12","GP_13","GP_14","GP_15","GP_16","GP_17","GP_18","GP_19","GP_20","SWLS_1","SWLS_2","SWLS_3","SWLS_4","SWLS_5","Self_Score","Others_Score","DP_Avg","AIP_Avg","GP_Avg","SWLS_Avg","Country_Res","Age","Gender","Kids","Edu","Work_Status","Annual_Inc","Current_Occ","Employ_Yrs","Employ_Mths","Comm_Size","Married","Num_sons","Num_daught","HDI","HDI_Cat"
"34",34,5,5,5,4,4,5,2,1,4,5,2,5,4,5,5,3,2,4,4,4,5,3,2,2,4,3,5,3,4,4,3,5,3,2,5,5,4,5,5,5,2,4,3,3,2,"yes","yes",4.6,3.66667,3.85,2.8,"Puerto Rico",55,"Female","Yes","phd","full-time",67500,NA,NA,0,"Small Town","Married",1,2,NA,NA
"35",35,5,5,5,5,5,1,2,4,4,5,5,5,5,3,5,1,4,5,3,5,5,4,3,1,5,5,4,5,5,5,5,5,1,3,5,5,5,4,5,1,2,1,2,4,1,"yes","yes",5,3.8,4.05,2,"Puerto Rico",32.5,"Female","Yes","phd","unemployed",NA,NA,5,0,"Medium-Sized","Married",3,0,NA,NA
"36",36,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,4,3,4,3,"yes","yes",3,2.73333,2.55,3.4,"Bermuda",37.5,"Male","Yes","deg","full-time",150000,NA,2,0,"Medium-Sized","Married",8,2,NA,NA
"37",37,4,1,1,1,1,1,1,1,1,1,2,3,2,5,3,2,1,3,1,3,4,1,4,4,1,3,3,1,4,5,3,1,4,4,3,5,3,2,2,4,5,2,1,1,1,"yes","yes",1.6,2,3.05,2,"Bermuda",19,"Male","No","ltuni","full-time",150000,NA,1,0,"Small Town","Single",1,0,NA,NA
"38",38,3,4,1,1,1,3,2,3,4,3,4,4,3,2,4,3,3,2,1,2,3,1,1,4,2,2,1,5,4,2,3,3,1,3,4,3,1,3,2,5,3,4,4,3,3,"yes","no",2,2.86667,2.65,3.4,"Croatia",20,"Male","No","ltuni","student",10000,NA,0,0,"Large-City","Single",1,0,0.827,"Very High"
"39",39,5,4,3,3,2,1,1,3,2,2,4,2,3,2,5,2,2,1,2,1,4,2,3,5,4,3,4,4,3,2,2,3,5,4,4,4,3,4,3,4,4,4,3,5,4,"yes","no",3.4,2.2,3.5,4,"Croatia",28,"Male","No","deg","full-time",15000,NA,1,0,"Village","Single",1,0,0.827,"Very High"
"40",40,4,4,4,3,2,1,1,2,1,1,1,4,4,2,3,5,1,2,1,2,4,2,1,2,3,2,3,2,4,1,4,2,2,3,3,3,3,4,3,3,2,3,4,3,5,"yes","yes",3.4,2.06667,2.7,3.4,"Croatia",45,"Female","Yes","deg","part-time",NA,NA,10,0,"Village","Married",8,2,0.827,"Very High"
"41",41,2,2,2,2,2,1,2,1,4,2,2,4,5,2,4,2,3,2,3,4,4,2,2,4,4,2,4,2,4,2,4,4,2,2,4,4,2,4,2,2,4,4,5,5,5,"yes","no",2,2.73333,3,4.6,"Croatia",37.5,"Female","No","deg","full-time",35000,NA,2,10,"Village","Married",1,0,0.827,"Very High"
"42",42,5,5,5,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,1,1,1,1,3,"yes","yes",5,4.6,4.8,1.4,"Taiwan",28,"Male","No","ltuni","unemployed",NA,NA,0,0,"Large-City","Single",1,0,NA,NA
"43",43,3,3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,3,2,4,2,3,2,2,3,2,1,2,3,2,2,4,3,1,2,3,3,1,3,1,3,3,4,3,3,2,"yes","no",2.4,2.53333,2.3,3,"Hungary",32.5,"Male","No","deg","full-time",87500,"financial analyst",0,6,"Large-City","Single",1,0,0.836,"Very High"
"44",44,5,5,4,4,4,3,1,1,2,4,4,5,4,5,5,1,3,2,2,5,5,5,3,3,4,2,5,3,5,2,4,4,3,4,4,4,3,3,5,4,3,4,4,4,2,"yes","yes",4.4,3.13333,3.75,3.4,"Austria",55,"Female","No","ltuni","full-time",35000,"language trainer",14,0,"Large Town","Married",1,0,0.893,"Very High"
"45",45,4,4,4,3,3,1,2,2,3,2,4,4,4,2,2,4,3,3,2,3,4,3,4,4,2,3,2,4,4,3,4,5,2,2,4,4,3,3,3,2,3,3,2,3,2,"yes","yes",3.6,2.73333,3.25,2.6,"Austria",32.5,"Male","No","deg","part-time",35000,"Editor",0,2,"Medium-Sized","Married",1,0,0.893,"Very High"
"46",46,4,4,5,4,4,3,3,5,4,5,2,5,5,5,5,5,3,5,4,4,5,5,4,4,2,3,4,5,5,3,5,5,4,4,5,4,4,5,5,5,2,2,2,2,1,"yes","yes",4.2,4.2,4.3,1.8,"Austria",37.5,"Female","No","ltuni","part-time",15000,NA,10,0,"Village","Married",1,0,0.893,"Very High"
"47",47,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,"yes","yes",5,3.13333,3,5,"Brunei",80,"Female","Yes","phd","full-time",250000,"ouh",30,11,"Large-City","Separated",2,10,0.865,"Very High"
"48",48,5,1,5,4,4,1,1,1,1,2,3,1,2,2,1,1,1,2,3,3,5,3,2,1,4,1,5,4,3,1,5,2,2,4,2,4,3,4,4,3,3,4,3,5,2,"yes","yes",3.8,1.66667,3.1,3.4,"Kazakhstan",80,"Male","Yes","ltuni","retired",250000,"retired",14,7,"Medium-Sized","Married",1,7,0.794,"High"
"49",49,4,1,1,1,1,1,3,2,4,2,1,5,1,1,2,1,5,1,4,4,2,1,1,1,4,2,1,1,3,3,5,5,1,1,1,2,4,1,1,3,4,3,3,4,1,"yes","yes",1.6,2.46667,2.15,3,"Malta",45,"Female","Yes","high","part-time",10000,"Software Sales",30,0,"Small Town","Married",7,1,0.856,"Very High"
"50",50,3,3,2,2,2,3,3,4,4,4,4,2,3,2,4,4,3,3,3,2,4,1,1,4,4,1,2,2,2,3,3,3,3,1,3,3,4,3,3,3,1,3,3,2,1,"yes","no",2.4,3.2,2.65,2,"Malta",32.5,"Female","No","ma","full-time",67500,NA,2,0,"Rural/Country","Single",1,0,0.856,"Very High"
"51",51,2,2,5,2,2,1,1,2,2,1,2,2,4,1,4,1,2,1,2,2,4,1,1,2,1,1,4,2,3,2,4,3,1,2,3,1,2,3,3,3,2,4,3,3,4,"yes","yes",2.6,1.86667,2.3,3.2,"Luxembourg",45,"Female","No","deg","full-time",NA,"Civil servant",17,0,"Small City","Separated",1,0,0.898,"Very High"
"52",52,3,5,4,4,4,1,1,3,2,4,5,5,5,4,5,1,3,4,3,5,3,5,2,2,5,4,4,1,2,1,4,5,1,4,4,4,5,2,5,2,2,1,2,1,1,"yes","yes",4,3.4,3.25,1.4,"Lebanon",16.5,"Male","No","ltuni","part-time",10000,NA,17,0,"Medium-Sized","Single",1,0,0.763,"High"
"53",53,5,5,5,3,3,2,1,1,4,2,3,5,4,2,5,5,1,4,2,1,5,2,4,2,3,3,3,4,5,5,1,5,3,3,4,5,3,5,5,5,3,2,2,2,2,"yes","yes",4.2,2.8,3.75,2.2,"Singapore",16.5,"Female","No",NA,"student",NA,NA,14,0,"Medium-Sized","Single",1,0,0.925,"Very High"
"54",54,4,4,3,1,1,1,1,3,1,1,3,5,1,3,3,3,1,1,1,1,1,1,3,1,4,2,3,3,2,1,4,2,1,1,3,3,1,5,5,2,1,1,1,1,1,"yes","no",2.6,1.93333,2.4,1,"Singapore",7.5,"Male","No","lthigh","student",10000,NA,2,4,"Large Town","Single",1,0,0.925,"Very High"
"55",55,3,2,1,2,2,2,2,2,3,3,2,2,3,2,2,3,3,4,3,2,2,2,4,2,3,2,1,2,3,2,3,3,2,3,3,4,3,3,2,3,3,3,3,2,3,"yes","no",2,2.53333,2.6,2.8,"Singapore",25,"Female","No","deg","full-time",15000,NA,2,0,"Small Town","Single",1,0,0.925,"Very High"
"56",56,5,5,5,5,5,4,1,3,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,3,1,5,5,5,5,4,5,1,3,5,5,5,5,5,5,1,1,1,1,1,"yes","no",5,4.26667,4.35,1,"Singapore",28,"Male","No","deg","full-time",25000,NA,4,0,"Village","Single",1,0,0.925,"Very High"
"57",57,3,2,3,3,3,2,1,3,3,2,2,4,3,2,4,1,2,3,2,3,4,3,3,3,3,2,4,3,3,4,3,4,3,3,2,4,4,3,4,3,3,3,3,2,4,"no","no",2.8,2.46667,3.25,3,"Singapore",45,"Male","No","ma","full-time",150000,NA,6,0,"Village","Single",1,0,0.925,"Very High"
"58",58,4,4,4,4,3,2,4,3,5,4,3,4,4,4,4,4,5,4,5,4,4,3,4,4,3,4,3,4,3,3,2,4,2,3,4,3,4,5,3,3,2,2,3,1,2,"yes","yes",3.8,3.93333,3.4,2,"Singapore",28,"Male","No","deg","full-time",25000,NA,0,3,"Village","Single",1,0,0.925,"Very High"
"59",59,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,4,4,4,2,2,2,2,4,4,2,4,2,4,2,2,4,2,4,4,4,2,2,4,2,4,2,2,2,2,2,"yes","",2,2.93333,3,2,"Venezuela",37.5,"Male","Yes","ma","full-time",150000,"Economy",7,0,"Large-City","Divorced",8,1,0.767,"High"
"60",60,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,4,2,2,4,3,4,4,4,2,5,3,4,1,2,4,3,3,3,4,4,4,4,"yes","yes",3.6,3.73333,3.2,3.8,"Venezuela",45,"Male","Yes","dip","full-time",35000,"sales manager",4,0,"Small City","Married",7,1,0.767,"High"
"61",61,4,4,1,1,1,1,1,1,5,4,5,4,4,2,5,3,1,3,1,2,1,2,2,2,2,2,4,2,5,3,3,4,2,3,5,3,3,2,4,2,5,5,5,4,5,"yes","no",2.2,2.8,2.8,4.8,"Uruguay",28,"Female","No","ma","part-time",25000,NA,0,0,"Large-City","Single",1,0,0.795,"High"
"62",62,5,5,5,5,5,4,3,3,4,5,3,5,5,5,5,3,3,4,3,5,5,1,3,5,5,3,5,5,5,3,3,5,4,4,5,3,3,5,5,5,1,1,2,2,1,"yes","yes",5,4,4.1,1.4,"Uruguay",24,"Male","No","high","student",NA,NA,0,0,"Village","Single",1,0,0.795,"High"
"63",63,5,5,5,4,4,1,3,5,4,4,5,5,5,4,5,2,5,5,5,2,4,4,3,5,4,2,5,4,5,2,4,5,4,2,5,4,5,5,5,5,3,5,4,5,3,"yes","yes",4.6,4,4.1,4,"Uruguay",32.5,"Male","No","dip","part-time",10000,NA,0,3,"Small Town","Single",1,0,0.795,"High"
"64",64,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no",1.8,1.86667,2.35,3.6,"Argentina",32.5,"Female","No","deg","full-time",67500,"manager",3,0,"Large-City","Single",1,0,0.827,"Very High"
"65",65,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,"","no",3,2.66667,2.6,3.4,"Argentina",67.5,"Male","Yes",NA,"part-time",150000,"BUSINESS CONSULTA",12,0,"Small Town","Married",3,0,0.827,"Very High"
"66",66,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3.4,3,2.95,3.6,"Argentina",45,"Male","Yes","deg","full-time",55000,NA,7,0,"Village","Married",8,2,0.827,"Very High"
"67",67,2,3,2,1,1,3,2,3,2,3,5,3,3,2,4,3,3,4,3,1,4,3,2,3,2,2,5,4,4,2,2,4,3,3,4,4,3,3,4,4,3,4,4,4,2,"yes","no",1.8,2.93333,3.25,3.4,"Argentina",16.5,"Female","No","lthigh","student",10000,NA,1,0,"Small Town","Single",1,0,0.827,"Very High"
"68",68,3,2,1,1,1,4,3,3,3,3,3,3,3,2,5,5,2,5,4,4,5,5,4,1,1,4,5,3,3,5,1,4,2,3,4,5,5,2,3,1,3,3,3,4,1,"yes","yes",1.6,3.46667,3.3,2.8,"Egypt",37.5,"Male","No","deg","full-time",67500,NA,17,0,"Large-City","Married",1,0,0.691,"Medium"
"69",69,4,4,4,3,3,3,3,4,4,3,2,4,3,3,3,3,5,4,5,4,4,2,3,5,4,3,3,4,4,4,2,4,3,3,3,4,4,3,3,2,4,4,4,3,4,"yes","yes",3.6,3.53333,3.35,3.8,"Nicaragua",22,"Female","No","deg","full-time",10000,"Copy Writer",0,3,"Large-City","Single",1,0,0.645,"Medium"
"70",70,3,1,1,1,1,2,2,5,4,3,5,5,5,4,5,5,2,3,1,2,5,3,5,1,4,2,5,3,5,1,4,5,4,5,5,5,2,5,3,5,5,5,3,3,1,"yes","yes",1.4,3.53333,3.85,3.4,"Myanmar",45,"Male","No","ma","full-time",67500,"Gender/Public Health Consultant",3,0,"Large-City","Married",1,0,0.556,"Medium"
"71",71,4,4,4,3,3,2,2,4,3,4,5,5,4,4,4,3,2,3,2,4,4,3,4,2,4,3,4,3,4,4,4,4,3,4,4,5,5,4,4,3,3,3,2,3,2,"yes","yes",3.6,3.4,3.75,2.6,"Peru",45,"Male","No","ltuni","full-time",150000,"chairman of the board",2,1,"Large Town","Married",1,0,0.74,"High"
"72",72,4,4,4,4,5,1,4,4,5,2,2,5,4,2,5,5,4,5,5,3,5,1,2,4,5,2,5,4,5,4,2,5,2,3,5,5,3,5,5,5,1,3,3,1,4,"yes","no",4.2,3.73333,3.85,2.4,"Peru",16.5,"Female","No","lthigh","student",10000,NA,1,5,"Village","Single",1,0,0.74,"High"
"73",73,2,1,1,1,1,1,1,1,3,1,1,2,2,1,3,2,2,2,2,2,3,1,1,1,2,1,3,1,4,2,2,3,2,1,2,4,3,1,2,1,5,5,5,5,5,"yes","no",1.2,1.73333,2,5,"Peru",45,"Female","No","deg","full-time",45000,NA,0,0,"Village","Divorced",1,0,0.74,"High"
"74",74,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,"yes","no",2.4,2.4,3,3.8,"Albania",67.5,"Male","Yes","deg","part-time",87500,"Media Consultant",4,0,"Large-City","Divorced",1,2,0.764,"High"
"75",75,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3.4,2.06667,3.9,3,"Albania",45,"Female","No","ltuni","full-time",150000,NA,0,0,"Large Town","Single",1,0,0.764,"High"
"76",76,5,5,3,3,3,3,5,4,5,5,5,5,4,5,5,4,4,4,5,5,5,3,1,4,4,3,3,4,4,2,2,4,3,3,4,3,3,4,4,5,2,4,3,4,3,"yes","yes",3.8,4.53333,3.4,3.2,"Dominican Republic",22,"Female","No","deg","full-time",15000,"Social Policy Analyst",1,3,"Large-City","Single",1,0,0.722,"High"
